gen,best_loss,avg_loss,variance,accuracy,time_sec
0,-1.8653,-1.9490,0.0043,0.00%,17.2
1,-1.9630,-2.2537,0.2601,0.00%,7.6
2,-1.7932,-2.3648,0.7759,0.00%,7.1
3,-1.8639,-2.6461,0.6773,0.00%,7.3
4,-1.8924,-2.2506,0.4028,0.00%,7.7
5,-1.9176,-1.9608,0.0020,0.00%,17.2
