Run_Name,Model,Gens,Pop,Sigma,Best_Loss,Avg_Loss,Variance,Final_Acc,Total_Time_Min
Run_01_DetailedStats,Qwen/Qwen2.5-0.5B,5,4,0.05,-1.9176,-1.9608,0.0020,0.00%,1.07
Run_01_WholeRunStats,Qwen/Qwen2.5-0.5B,5,4,0.05,-1.7703,-2.1265,0.2355,0.00%,1.13
